'x' , 'z'
0, 0.0034
0.03, 0.0035
0.06, 0.0041
0.09, 0.0047
0.12, 0.006590625
0.15, 0.00905
0.18, 0.010925
0.21, 0.0137921875
0.24, 0.0164484375
0.27, 0.0192109375
0.3, 0.022184375
0.33, 0.0250265625
0.36, 0.0279171875
0.39, 0.0306578125
0.42, 0.033215625
0.45, 0.035734375
0.48, 0.03809375
0.51, 0.0404390625
0.54, 0.0429078125
0.57, 0.045328125
0.6, 0.047915625
0.63, 0.050534375
0.66, 0.0530734375
0.69, 0.05561875
0.72, 0.0579796875
0.75, 0.060196875
0.78, 0.062246875
0.81, 0.0641359375
0.84, 0.06585625
0.87, 0.0674453125
0.9, 0.068940625
0.93, 0.0703828125
0.96, 0.07189375
0.99, 0.0735765625
1.02, 0.0755359375
1.05, 0.0777703125
1.08, 0.08016875
1.124, 0.083
1.14, 0.07159375
1.17, 0.060425
1.2, 0.04706875
1.23, 0.034134375
1.26, 0.019225
1.3, 0.0045
1.33, 0.0035
1.36, 0.0041
1.39, 0.0047
1.42, 0.006590625
1.45, 0.00905
1.48, 0.010925
1.51, 0.0137921875
1.54, 0.0164484375
1.57, 0.0192109375
1.6, 0.022184375
1.63, 0.0250265625
1.66, 0.0279171875
1.69, 0.0306578125
1.72, 0.033215625
1.75, 0.035734375
1.78, 0.03809375
1.81, 0.0404390625
1.84, 0.0429078125
1.87, 0.045328125
1.9, 0.047915625
1.93, 0.050534375
1.96, 0.0530734375
1.99, 0.05561875
2.02, 0.0579796875
2.05, 0.060196875
2.08, 0.062246875
2.11, 0.0641359375
2.14, 0.06585625
2.17, 0.0674453125
2.2, 0.068940625
2.23, 0.0703828125
2.26, 0.07189375
2.29, 0.0735765625
2.32, 0.0755359375
2.35, 0.0777703125
2.38, 0.08016875
2.424, 0.083
2.44, 0.07159375
2.47, 0.060425
2.5, 0.04706875
2.53, 0.034134375
2.56, 0.019225
2.6, 0.0045
2.63, 0.0035
2.66, 0.0041
2.69, 0.0047
2.72, 0.006590625
2.75, 0.00905
2.78, 0.010925
2.81, 0.0137921875
2.84, 0.0164484375
2.87, 0.0192109375
2.9, 0.022184375
2.93, 0.0250265625
2.96, 0.0279171875
2.99, 0.0306578125
